419.2547506,417.5762074,442.8568884,0 avg
464,452,492,0 max
417,433,439,0 last
443.09,473.6923077,418.0730769,1 avg
491,542,462,1 max
463,450,426,1 last
430.6303387,499.9918999,483.4926362,2 avg
478,539,549,2 max
425,508,492,2 last
439.2821114,520.1219941,507.1923754,3 avg
501,566,560,3 max
480,501,534,3 last
487.9937802,563.2449827,522.5079585,4 avg
572,623,566,4 max
493,570,501,4 last
522.8265365,636.7403791,587.2998277,5 avg
629,706,641,5 max
519,624,543,5 last
489.0824561,600.8508772,573.6216374,6 avg
569,657,641,6 max
475,592,580,6 last
