x,y,rssi1,rssi2,rssi3,rssi4
0,0,-23.1,-69.75,-64.7,-76.65
0,0,-23.4,-70.35,-64.75,-74.7
0,0,-24.25,-70.2,-65.9,-75.3
0,0,-22.3,-71.3,-64.75,-76.4
0,0,-23.95,-71.8,-64.7,-74.7
50,0,-50.9,-72.8,-75.45,-72.9
50,0,-51,-73.05,-75.45,-75.55
50,0,-50.25,-74.4,-77.5,-75.55
50,0,-50.2,-72.8,-72.45,-71.6
50,0,-50.9,-75.65,-73.95,-71.8
100,0,-63.2,-67.55,-78.55,-73
100,0,-63.55,-66.65,-77.4,-73
100,0,-63.5,-66.85,-75,-72.55
100,0,-64.4,-68.3,-78.45,-74.6
100,0,-65.1,-69.05,-77.35,-73.85
150,0,-71.2,-67.05,-72.55,-69.5
150,0,-71.05,-68.55,-74.95,-70
150,0,-67.65,-68.2,-71.35,-68.8
150,0,-67.5,-67.25,-72.15,-69.4
150,0,-70,-66.75,-71.9,-68.95
200,0,-71.45,-74.2,-75.5,-76.4
200,0,-71.45,-74.6,-73.2,-75.35
200,0,-72.25,-76.4,-73.95,-75.7
200,0,-71.65,-77.05,-76.05,-76.15
200,0,-71.2,-73.65,-73.2,-74.9
250,0,-71.25,-67.7,-69.25,-78.25
250,0,-72.4,-69.05,-73.55,-80.9
250,0,-72.55,-71.8,-77.75,-77.3
250,0,-74.55,-69.65,-74.2,-80.65
250,0,-71.6,-69.35,-72.85,-78.3
300,0,-73.55,-73.25,-83.1,-53.75
300,0,-75.05,-72.55,-82.15,-53.3
300,0,-74.55,-72.75,-82.9,-53.95
300,0,-75.4,-73.3,-80.8,-55.2
300,0,-75.15,-72.55,-81.55,-55.3
350,0,-72.2,-72.85,-72.95,-45.05
350,0,-72.1,-74.3,-71.55,-45.8
350,0,-71.25,-76.05,-70.2,-44.65
350,0,-72.15,-75,-72,-45.05
350,0,-73.05,-73.2,-72.75,-45.55
400,0,-71.8,-66,-73.35,-37.55
400,0,-71.75,-65.25,-71.9,-35.55
400,0,-72.3,-65.85,-72.05,-33.55
400,0,-73.8,-66.3,-72.55,-34.55
400,0,-72.9,-66.45,-72.9,-34.5
0,50,-48.2,-78.5,-71.6,-80.85
0,50,-48,-77.75,-71.75,-80.9
0,50,-47.6,-76.65,-71.05,-80.3
0,50,-46.55,-75.1,-72.55,-81.55
0,50,-48.05,-77.95,-71.2,-80.35
0,100,-57.75,-74.2,-76.5,-74.8
0,100,-57.65,-74.55,-71.75,-75.65
0,100,-57.65,-73.7,-70.65,-77.1
0,100,-57.65,-74.15,-75.1,-76.9
0,100,-57.45,-74,-74.7,-75.1
0,150,-63.8,-67.65,-69.8,-75.45
0,150,-66.95,-69.45,-69.6,-82.1
0,150,-65.5,-70.6,-68.8,-76.8
0,150,-66,-67.25,-70.6,-80.8
0,150,-65.1,-70.2,-68.35,-78.25
0,200,-65.6,-69.25,-64.1,-77.95
0,200,-65.7,-69.05,-63.2,-76.85
0,200,-66.05,-68.3,-63.15,-77.5
0,200,-65.65,-68.65,-63.7,-77.65
0,200,-64.8,-69.8,-64.7,-76.9
0,250,-64.2,-74.45,-71.2,-78.35
0,250,-65.75,-74.65,-67.5,-81
0,250,-66.45,-74.75,-68.1,-82.45
0,250,-64.6,-74.65,-68,-79.5
0,250,-64.3,-74.6,-69.45,-79.95
0,300,-60.65,-70.5,-55.95,-78.1
0,300,-63.5,-69.8,-54.95,-73.35
0,300,-64.55,-68.55,-55.35,-77.45
0,300,-63.4,-67.1,-53.2,-72.65
0,300,-62.7,-68,-53.9,-72.45
0,350,-59.3,-72.5,-47.95,-81.55
0,350,-61.85,-70.4,-47.6,-82.3
0,350,-62.85,-72,-47.6,-81.2
0,350,-63.2,-72.9,-47.85,-79.6
0,350,-63.35,-72.95,-48.55,-79.9
0,400,-54.8,-73.95,-34.7,-73.6
0,400,-58.05,-71.35,-33.65,-75.8
0,400,-59.55,-70.95,-34.65,-76.1
0,400,-60,-70.4,-34.8,-77.3
0,400,-59.4,-71.2,-33.7,-76.85
50,400,-64.7,-78.8,-46.35,-69.6
50,400,-66.85,-80.55,-48,-72.8
50,400,-67.85,-79.9,-46.8,-71.5
50,400,-66.3,-80.65,-48,-73.7
50,400,-67.85,-79.5,-48.3,-73.25
100,400,-66.5,-80.5,-55.85,-74.95
100,400,-71.55,-81.95,-56.4,-74
100,400,-73.35,-84.85,-55.4,-71.1
100,400,-71.85,-82.45,-55.2,-72.6
100,400,-71.45,-83.2,-55.55,-73.8
150,400,-68.3,-76.95,-61.65,-72.9
150,400,-69.8,-75.35,-61.55,-75
150,400,-71.55,-76.75,-61.95,-72.85
150,400,-71.9,-76.55,-62.15,-73.95
150,400,-72.5,-76.9,-62.1,-73.25
200,400,-70.05,-77.1,-64.5,-67.3
200,400,-72.8,-78.75,-64.2,-66.75
200,400,-73.75,-78.95,-64.65,-65.9
200,400,-74.5,-78.15,-64.8,-67.85
200,400,-74.3,-78.75,-64.1,-66.05
250,400,-68.25,-69.7,-71.95,-73.95
250,400,-72.5,-69.55,-70.4,-74.15
250,400,-74.2,-68.55,-70.5,-74.6
250,400,-73.6,-69.75,-69.35,-74.9
250,400,-72.1,-67.8,-70.1,-72.65
300,400,-68.85,-62.45,-72.5,-71.5
